Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
815,Jeff Samardzija\samarje01,34,SFG,NL,11,12,0.478,3.52,32,32,0,0,0,0,181.1,152,78,71,28,49,4,140,6,0,5,740,119,4.59,1.108,7.5,1.4,2.4,6.9,2.86
207,Yu Darvish\darviyu01,32,CHC,NL,6,8,0.429,3.98,31,31,0,0,0,0,178.2,140,82,79,33,56,1,229,11,0,11,731,112,4.18,1.097,7.1,1.7,2.8,11.5,4.09
485,Clayton Kershaw*\kershcl01,31,LAD,NL,16,5,0.762,3.03,29,28,0,0,0,0,178.1,145,63,60,28,41,0,189,2,1,7,706,137,3.86,1.043,7.3,1.4,2.1,9.5,4.61
413,Kyle Hendricks\hendrky01,29,CHC,NL,11,10,0.524,3.46,30,30,0,1,1,0,177,168,78,68,19,32,1,150,9,0,1,730,129,3.61,1.13,8.5,1,1.6,7.6,4.69
346,Lucas Giolito\giolilu01,24,CHW,AL,14,9,0.609,3.41,29,29,0,3,2,0,176.2,131,69,67,24,57,1,228,4,0,6,705,134,3.43,1.064,6.7,1.2,2.9,11.6,4
35,Brett Anderson*\anderbr04,31,OAK,AL,13,9,0.591,3.89,31,31,0,0,0,0,176,181,80,76,20,49,2,90,4,0,4,743,111,4.57,1.307,9.3,1,2.5,4.6,1.84
363,Sonny Gray\grayso01,29,CIN,NL,11,8,0.579,2.87,31,31,0,0,0,0,175.1,122,59,56,17,68,1,205,7,1,7,708,158,3.42,1.084,6.3,0.9,3.5,10.5,3.01
470,Jakob Junis\junisja01,26,KCR,AL,9,14,0.391,5.24,31,31,0,0,0,0,175.1,192,108,102,31,58,1,164,11,0,4,771,90,4.82,1.426,9.9,1.6,3,8.4,2.83
440,Dakota Hudson\hudsoda02,24,STL,NL,16,7,0.696,3.35,33,32,1,0,0,1,174.2,160,80,65,22,86,8,136,9,0,5,757,128,4.93,1.408,8.2,1.1,4.4,7,1.58
874,Mike Soroka\sorokmi01,21,ATL,NL,13,4,0.765,2.68,29,29,0,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,169,3.45,1.111,7.9,0.7,2.1,7.3,3.46
928,Julio Teheran\teherju01,28,ATL,NL,10,11,0.476,3.81,33,33,0,0,0,0,174.2,148,81,74,22,83,3,162,14,1,5,754,119,4.66,1.323,7.6,1.1,4.3,8.3,1.95
716,Rick Porcello\porceri01,30,BOS,AL,14,12,0.538,5.52,32,32,0,0,0,0,174.1,198,114,107,31,45,2,143,6,2,5,768,87,4.76,1.394,10.2,1.6,2.3,7.4,3.18
740,Robbie Ray*\rayro02,27,ARI,NL,12,8,0.6,4.34,33,33,0,0,0,0,174.1,150,91,84,30,84,5,235,5,0,7,747,103,4.29,1.342,7.7,1.5,4.3,12.1,2.8
